City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,guerrero negro,27.9769,-114.0611,18.86,89,1,8.15,MX,1727405553
83,kaifeng,34.7911,114.3483,23.73,70,100,4.27,CN,1727405792
84,murud,18.3258,72.965,25.93,87,100,6.63,IN,1727405793
85,hawkesbury,45.6001,-74.616,13.08,87,33,2.68,CA,1727405794
86,grytviken,-54.2811,-36.5092,-1.37,76,59,8.13,GS,1727405796
87,khash,28.2211,61.2158,22.0,31,0,1.82,IR,1727405797
88,suva,-18.1416,178.4415,27.71,57,40,4.63,FJ,1727405798
89,west island,-12.1568,96.8225,27.99,74,75,4.12,CC,1727405800
90,puerto aysen,-45.4,-72.7,3.33,98,100,2.01,CL,1727405801
91,port lincoln,-34.7333,135.8667,16.01,54,28,7.76,AU,1727405802
92,chapada dos guimaraes,-15.4606,-55.7497,29.44,22,34,2.62,BR,1727405803
93,westport,41.1415,-73.3579,22.53,90,100,1.54,US,1727405805
94,myitkyina,25.3833,97.4,25.91,87,96,0.83,MM,1727405806
95,qaqortoq,60.7167,-46.0333,4.42,85,15,3.94,GL,1727405807
96,kolonia town,6.964,158.206,32.06,79,75,2.57,FM,1727405808
97,hermanus,-34.4187,19.2345,13.78,91,83,2.23,ZA,1727405653
98,amahai,-3.3333,128.9167,28.13,75,56,3.78,ID,1727405810
99,keflavik,64.0049,-22.5624,6.24,81,75,1.54,IS,1727405811
100,lincheng,19.9078,109.6858,29.03,75,64,1.42,CN,1727405812
101,zarghun shahr,32.8473,68.4457,18.31,34,0,2.42,AF,1727405813
102,havza,40.9706,35.6622,10.34,93,0,0.0,TR,1727405815
103,peterhead,57.5058,-1.7981,9.37,68,96,12.84,GB,1727405816
104,hithadhoo,-0.6,73.0833,28.13,73,100,6.46,MV,1727405817
105,avarua,-21.2078,-159.775,23.03,64,40,3.6,CK,1727405818
106,afaahiti,-17.75,-149.2833,25.3,81,22,4.24,PF,1727405819
107,enewetak,11.3474,162.3373,28.89,75,21,5.36,MH,1727405820
108,papatowai,-46.5619,169.4708,7.06,87,95,7.01,NZ,1727405821
109,arkadelphia,34.1209,-93.0538,19.01,62,7,1.6,US,1727405565
110,port augusta,-32.5,137.7667,24.59,14,0,5.71,AU,1727405823
111,georgetown,5.4112,100.3354,30.96,78,20,1.54,MY,1727405825
112,isola di capo rizzuto,38.96,17.0933,22.24,48,0,2.12,IT,1727405826
113,villa ojo de agua,-29.5,-63.6938,11.4,48,0,1.53,AR,1727405827
114,iqaluit,63.7506,-68.5145,3.85,93,75,0.0,CA,1727405828
115,hauterive,46.0901,3.4459,13.16,77,50,4.83,FR,1727405829
116,ratnagiri,16.9833,73.3,27.52,83,99,5.75,IN,1727405830
117,arkalyk,50.2486,66.9114,5.65,48,9,1.6,KZ,1727405832
118,timimoun,29.2639,0.231,27.21,39,0,2.06,DZ,1727405833
119,touros,-5.1989,-35.4608,24.56,78,26,6.74,BR,1727405835
120,vila velha,-20.3297,-40.2925,23.97,82,75,5.81,BR,1727405836
121,minas de marcona,-15.2119,-75.1103,11.05,87,89,4.21,PE,1727405837
122,susuman,62.7833,148.1667,7.95,50,2,1.46,RU,1727405838
123,ambon,-3.6954,128.1814,30.08,74,40,3.09,ID,1727405839
124,hamilton,39.1834,-84.5333,20.79,93,100,5.14,US,1727405586
125,bom jesus da lapa,-13.255,-43.4181,26.22,35,0,3.39,BR,1727405842
126,nizhnesortymskiy,62.4397,71.7603,2.98,85,100,5.47,RU,1727405844
127,badger,64.8,-147.5333,6.95,81,75,2.57,US,1727405845
128,sao miguel,-5.4667,-35.3667,24.18,81,58,6.81,BR,1727405846
129,anadyr,64.75,177.4833,4.28,64,100,2.0,RU,1727405847
130,atafu village,-8.5421,-172.5159,25.18,92,100,7.63,TK,1727405848
131,olinda,-8.0089,-34.8553,25.85,73,40,4.63,BR,1727405849
132,howard springs,-12.497,131.047,32.77,68,35,0.87,AU,1727405850
133,ilulissat,69.2167,-51.1,2.78,62,99,2.55,GL,1727405852
134,apatity,67.5641,33.4031,7.5,91,100,4.86,RU,1727405853
135,elko,41.0002,-115.5012,20.68,20,0,2.68,US,1727405755
136,madaba,31.5833,35.6667,23.15,57,0,1.85,JO,1727405856
137,la ronge,55.1001,-105.2842,9.14,81,40,3.6,CA,1727405857
138,saipan,15.1355,145.701,28.39,83,75,5.14,MP,1727405858
139,mokhotlong,-29.2894,29.0675,5.92,41,85,0.77,LS,1727405859
140,kavaratti,10.5669,72.642,27.45,82,100,6.4,IN,1727405860
141,invercargill,-46.4,168.35,6.68,91,100,4.02,NZ,1727405443
142,st. john's,47.5649,-52.7093,11.65,97,100,3.13,CA,1727405851
143,flying fish cove,-10.4217,105.6791,26.82,78,75,4.63,CX,1727405719
144,port macquarie,-31.4333,152.9167,15.04,85,100,0.89,AU,1727405865
145,stanley,54.868,-1.6985,9.04,84,20,7.72,GB,1727405626
146,choibalsan,48.0667,114.5,13.99,63,100,3.78,MN,1727405867
147,aksu,41.1231,80.2644,21.76,36,78,2.77,CN,1727405869
148,la'ie,21.6477,-157.9253,29.98,69,83,4.83,US,1727405870
149,midvagur,62.0511,-7.1939,4.46,87,75,8.23,FO,1727405871
150,meadow lake,34.8014,-106.5436,23.69,30,0,1.08,US,1727405872
151,ad dabbah,18.05,30.95,30.32,22,92,3.53,SD,1727405873
152,nemuro,43.3236,145.575,16.76,96,100,5.28,JP,1727405875
153,carolina,18.3808,-65.9574,28.28,88,100,0.45,PR,1727405702
154,le port,-20.9373,55.2919,22.16,93,60,3.57,RE,1727405877
155,libreville,0.3925,9.4537,24.19,91,99,3.37,GA,1727405878
156,hotan,37.0997,79.9269,25.35,18,3,5.06,CN,1727405880
157,yorkton,51.2167,-102.4677,14.91,63,0,8.23,CA,1727405881
158,benoy,8.9833,16.3199,22.26,95,100,1.12,TD,1727405883
159,uturoa,-16.7333,-151.4333,26.67,78,8,4.1,PF,1727405884
160,lahaina,20.8783,-156.6825,28.33,73,100,4.07,US,1727405885
161,maintirano,-18.0667,44.0167,23.29,79,0,1.01,MG,1727405886
162,orting,47.0979,-122.2043,18.88,64,100,1.46,US,1727405887
163,coahuayana de hidalgo,18.7,-103.6583,22.93,94,100,1.85,MX,1727405889
164,tura,25.5198,90.2201,23.76,94,100,1.03,IN,1727405890
165,sinop,41.7711,34.8709,15.18,81,1,1.77,TR,1727405891
166,turpan,42.9333,89.1667,22.78,32,95,2.51,CN,1727405892
167,zhangye,38.9342,100.4517,22.37,26,2,7.82,CN,1727405895
168,thunder bay,48.4001,-89.3168,14.99,100,0,2.57,CA,1727405873
169,zastron,-30.3023,27.084,7.68,42,96,1.23,ZA,1727405897
170,damietta,31.4165,31.8133,24.73,66,0,2.84,EG,1727405898
171,pontes e lacerda,-15.2261,-59.3353,28.65,47,22,3.6,BR,1727405699
172,ingeniero jacobacci,-41.3427,-69.5448,9.99,27,100,3.52,AR,1727405901
173,beira,-19.8436,34.8389,21.05,83,40,2.06,MZ,1727405902
174,castillos,-34.1667,-53.8333,13.16,94,100,2.32,UY,1727405903
175,melito di porto salvo,37.9222,15.7714,21.28,68,0,3.09,IT,1727405904
176,argo,37.6333,22.7333,21.85,59,0,1.55,GR,1727405905
177,labrador city,52.9463,-66.9114,10.1,80,75,4.92,CA,1727405906
178,isangel,-19.55,169.2667,28.06,57,40,5.66,VU,1727405907
179,tabou,4.423,-7.3528,24.36,91,99,3.28,CI,1727405908
180,alice springs,-23.7,133.8833,24.75,27,0,5.14,AU,1727405910
181,farasan,16.7022,42.1183,30.63,77,2,1.61,SA,1727405911
182,zouerate,22.7187,-12.4521,29.08,42,100,6.72,MR,1727405912
183,najran,17.4924,44.1277,21.47,28,51,1.42,SA,1727405883
184,joshua tree,34.1347,-116.3131,30.25,17,0,2.68,US,1727405914
185,chippewa falls,44.9369,-91.3929,17.77,86,0,0.0,US,1727405915
186,taki,22.5861,88.9214,28.99,82,93,5.07,IN,1727405917
187,codrington,-38.2667,141.9667,15.54,52,0,2.0,AU,1727405918
188,mirnyy,62.5353,113.9611,3.42,83,100,3.32,RU,1727405919
189,dudinka,69.4058,86.1778,-0.11,89,100,4.38,RU,1727405920
190,puerto leguizamo,-0.1934,-74.7819,23.96,87,100,1.41,CO,1727405922
191,enriquillo,17.9,-71.2333,25.74,88,3,3.6,DO,1727405923
192,antalaha,-14.9003,50.2788,19.83,80,4,2.97,MG,1727405924
193,ampanihy,-24.7,44.75,20.27,76,0,2.3,MG,1727405925
194,ak-dovurak,51.1833,90.6,3.47,45,100,0.86,RU,1727405927
195,kyaikkami,16.08,97.5675,27.59,79,36,1.53,MM,1727405928
196,ciudad lazaro cardenas,17.9583,-102.2,23.8,91,100,11.31,MX,1727405929
197,waiuku,-37.25,174.75,13.81,66,100,4.54,NZ,1727405930
198,awjilah,29.1081,21.2869,23.78,60,0,3.69,LY,1727405931
199,andergrove,-21.0833,149.1833,24.34,71,99,4.84,AU,1727405932
200,santanyi,39.3546,3.1291,23.7,81,49,5.63,ES,1727405933
201,porbandar,21.6422,69.6093,28.04,79,99,5.99,IN,1727405934
202,longyearbyen,78.2186,15.6401,-0.09,64,75,8.75,SJ,1727405935
203,lagunas,-5.2269,-75.6753,28.8,50,88,0.95,PE,1727405937
204,charters towers,-20.1,146.2667,30.28,36,99,5.79,AU,1727405938
205,faya-largeau,17.9257,19.1043,32.44,23,0,7.61,TD,1727405940
206,kununurra,-15.7667,128.7333,33.99,49,20,4.12,AU,1727405942
207,manly,-33.798,151.2883,16.65,72,75,8.75,AU,1727405680
208,nuku'alofa,-21.1333,-175.2,25.19,78,20,6.69,TO,1727405945
209,harnosand,62.6323,17.9379,4.0,78,100,5.99,SE,1727405946
210,amherst,41.3978,-82.2224,19.85,86,100,1.34,US,1727405854
211,harper,4.375,-7.7169,24.49,91,98,3.3,LR,1727405948
212,soio,-6.1349,12.3689,23.92,87,83,3.13,AO,1727405949
213,rio grande,-32.035,-52.0986,15.65,92,100,6.82,BR,1727405950
214,suwayr,30.1171,40.3893,25.81,31,0,3.58,SA,1727405953
215,quellon,-43.1167,-73.6167,4.95,84,100,2.14,CL,1727405954
216,simanggang,1.2472,111.4528,25.99,94,40,0.51,MY,1727405955
217,kingston,17.997,-76.7936,28.53,79,20,4.12,JM,1727405651
218,kavieng,-2.5744,150.7967,28.66,72,50,0.91,PG,1727405957
219,itoman,26.1247,127.6694,32.21,73,20,7.72,JP,1727405958
220,taksimo,56.3444,114.8794,6.44,59,12,1.73,RU,1727405959
221,nyagan,62.1406,65.3936,6.62,96,98,2.13,RU,1727405961
222,wuyang,31.9925,116.2472,26.5,67,99,5.02,CN,1727405817
223,akobo,7.4344,3.9497,21.48,99,97,1.44,NG,1727405963
224,vorkuta,67.5,64.0,6.16,99,99,4.83,RU,1727405964
225,virpur,23.1833,73.4833,27.29,86,100,4.59,IN,1727405966
226,shahrud,36.4182,54.9763,15.06,66,0,5.1,IR,1727405967
227,mejit,10.2753,170.8646,28.55,76,71,5.27,MH,1727405969
228,cobija,-11.0267,-68.7692,25.31,64,24,0.54,BO,1727405970
229,tazacorte,28.629,-17.9293,21.54,90,0,4.12,ES,1727405973
230,lo prado,-33.4443,-70.7255,16.9,53,99,0.52,CL,1727405974
231,torghay,49.6339,63.4981,7.69,39,8,1.4,KZ,1727405975
232,pacific grove,36.6177,-121.9166,15.82,93,40,2.06,US,1727405976
233,plastun,44.7561,136.2939,19.39,44,0,2.65,RU,1727405978
234,penon blanco,24.7897,-104.0369,19.4,51,0,3.05,MX,1727405979
235,new norfolk,-42.7826,147.0587,16.62,36,33,1.85,AU,1727405980
236,kita,13.0349,-9.4895,21.48,95,100,0.65,ML,1727405981
237,agat village,13.3886,144.6585,31.52,80,40,3.09,GU,1727405982
238,laguna,38.421,-121.4238,25.58,50,0,2.06,US,1727405984
239,coquimbo,-29.9533,-71.3436,12.85,87,0,2.57,CL,1727405936
240,chonchi,-42.6128,-73.8092,5.62,93,100,1.09,CL,1727405987
241,uvinza,-5.1036,30.3911,21.69,47,88,1.37,TZ,1727405989
242,siwa oasis,29.2041,25.5195,24.28,57,0,2.54,EG,1727405990
243,korla,41.7597,86.1469,21.65,30,94,9.49,CN,1727405991
244,beichengqu,40.4394,113.1536,17.05,67,85,6.34,CN,1727405992
245,akarsu,37.2355,41.0607,21.19,29,0,3.44,TR,1727405720
246,vila franca do campo,37.7167,-25.4333,21.23,80,97,2.22,PT,1727405995
247,quatre cocos,-20.2078,57.7625,21.72,67,95,7.68,MU,1727405714
248,port elizabeth,-33.918,25.5701,13.16,91,0,1.03,ZA,1727405997
249,pizarro,4.9533,-77.366,25.18,88,100,1.13,CO,1727405998
250,ulsteinvik,62.3432,5.8487,8.07,86,100,0.45,NO,1727405999
251,papao,-17.75,-149.55,27.82,76,11,3.09,PF,1727406001
252,port moody,49.283,-122.8526,12.27,83,100,1.79,CA,1727406002
253,ancud,-41.8697,-73.8203,5.66,77,99,4.04,CL,1727406005
254,lihue,21.9789,-159.3672,26.87,78,99,3.53,US,1727406006
255,gizo,-8.103,156.8419,28.8,73,28,0.26,SB,1727406007
256,lensk,60.7253,114.9278,4.5,76,100,4.08,RU,1727406008
257,kuta,-8.7233,115.1723,30.97,74,20,4.12,ID,1727406009
258,miami,25.7743,-80.1937,29.45,83,100,9.26,US,1727405663
259,le vauclin,14.5452,-60.8388,25.03,94,20,2.57,MQ,1727406012
260,taoudenni,22.6783,-3.9836,34.41,23,10,6.55,ML,1727406014
261,shalqar,47.8333,59.6,8.88,40,0,3.1,KZ,1727406016
262,walvis bay,-22.9575,14.5053,14.95,76,66,2.25,NA,1727406018
263,ketchikan,55.3422,-131.6461,9.99,90,100,2.91,US,1727406019
264,igbor,7.4527,8.6098,22.43,98,100,2.23,NG,1727406020
265,egilsstadir,65.2653,-14.3948,0.95,100,75,3.09,IS,1727406021
266,carnarvon,-24.8667,113.6333,20.72,59,100,4.88,AU,1727406022
267,taitung city,22.7583,121.1444,30.15,79,75,2.06,TW,1727406023
268,selfoss,63.9331,-20.9971,2.47,84,92,2.26,IS,1727406024
269,trail,49.0998,-117.7022,14.82,37,58,0.74,CA,1727406025
